client_id,first_name,last_name,dob,join_date,postcode
1,Alex,Lima,1988-05-11,2015-01-06,2300
2,Marty,November,1987-09-11,2015-02-25,2200
3,Veronica,Papa,1996-06-04,2015-03-12,2600
4,Ernie,Romeo,1990-05-02,2015-04-18,2000
5,Veronica,Alpha,1987-06-25,2015-04-19,3000
6,Harry,Alpha,1996-07-04,2015-04-20,3300
7,Frank,India,1995-08-30,2015-04-27,3200
8,Jack,Charlie,1997-03-20,2015-05-10,3000
9,Jack,Whiskey,1999-09-05,2015-05-22,2400
10,Peter,Mike,1988-11-01,2015-05-25,2400
11,Marty,Sierra,1994-09-06,2015-05-30,3000
12,Queen,Oscar,2001-06-05,2015-06-02,3200
13,Katie,Mike,1988-04-04,2015-06-06,2800
14,Harry,X-Ray,1986-07-25,2015-06-09,3400
15,Barney,X-Ray,2000-06-20,2015-06-12,2300
16,Katie,Romeo,1988-01-15,2015-07-10,2900
17,Zeke,Uniform,1996-05-02,2015-07-16,2900
18,Charles,Romeo,1997-10-04,2015-08-04,2200
19,Jack,Hotel,1988-01-05,2015-08-06,2700
20,Ernie,Quebec,1996-06-23,2015-08-15,3100
21,Peter,Golf,2001-05-12,2015-09-06,2200
22,Indigo,Zulu,1998-11-25,2015-09-26,2100
23,Wendy,Sierra,1988-02-15,2015-09-28,3100
24,Oliver,Lima,1985-09-08,2015-10-26,2500
25,Dane,Charlie,1990-01-05,2015-11-08,2800
26,Sam,Whiskey,1998-11-07,2015-11-16,3000
27,Wendy,Golf,1987-04-13,2015-11-19,3400
28,Wendy,Papa,1989-12-09,2015-12-08,3300
29,Gerry,Mike,1991-05-03,2015-12-11,3300
30,Tim,Echo,1998-12-09,2015-12-13,3100
31,Wendy,Foxtrot,1988-03-20,2015-12-14,2600
32,Gerry,Victor,1988-06-10,2016-01-19,2200
33,Ernie,Hotel,1997-10-31,2016-02-15,3400
34,Sam,Quebec,1994-08-24,2016-03-02,2000
35,Veronica,Charlie,1990-12-29,2016-03-08,3000
36,Indigo,Bravo,1993-04-07,2016-05-10,2000
37,Ulena,Kilo,1992-09-13,2016-05-16,2600
38,Oliver,Foxtrot,1987-07-03,2016-05-18,2000
39,Dane,Echo,1993-01-23,2016-06-09,2300
40,Dane,Whiskey,1986-11-05,2016-06-16,2700
41,Jack,Echo,1987-11-03,2016-07-17,3300
42,Zeke,Romeo,1998-04-02,2016-07-23,2200
43,Harry,Golf,1993-03-18,2016-07-26,2800
44,Ray,Mike,1992-12-02,2016-07-29,2700
45,Xavier,Mike,1987-12-06,2016-08-16,3000
46,Veronica,Uniform,1996-09-28,2016-08-24,3100
47,Queen,Delta,1993-10-26,2016-09-10,2900
48,Gerry,Yankee,1995-03-14,2016-09-14,2300
49,Xavier,Romeo,2001-05-31,2016-09-26,3000
50,Ulena,Tango,1996-09-26,2016-10-02,3000
51,Oliver,Juliet,1993-03-11,2016-10-15,2200
52,Alex,Charlie,1990-03-12,2016-10-16,2600
53,Gerry,Tango,1996-07-09,2016-10-16,2800
54,Alex,Tango,1989-08-10,2016-10-21,2400
55,Ulena,Yankee,1989-04-22,2016-11-06,2600
56,Ray,Bravo,1993-08-13,2016-11-12,3100
57,Marty,Tango,1989-07-25,2016-11-17,2400
58,Wendy,Delta,1998-05-03,2016-11-21,2000
59,Tim,Romeo,1993-04-27,2016-12-05,3300
60,Marty,Papa,1995-02-16,2016-12-14,3200
61,Barney,Foxtrot,1999-11-11,2016-12-31,3100
62,Jack,Alpha,1998-09-16,2017-01-02,3200
63,Peter,Quebec,1987-08-23,2017-01-21,3100
64,Veronica,X-Ray,1990-10-20,2017-01-30,2200
65,Zeke,Juliet,1999-01-28,2017-03-04,3300
66,Jack,X-Ray,2001-05-24,2017-03-13,2800
67,Charles,Mike,1995-07-07,2017-03-21,3200
68,Oliver,Oscar,2001-05-04,2017-03-22,2500
69,Ernie,Delta,1994-09-02,2017-03-28,2700
70,Zeke,Alpha,1991-12-21,2017-04-02,3000
71,Jack,Yankee,1996-06-22,2017-04-11,3400
72,Lucy,Uniform,1996-07-22,2017-04-17,2900
73,Zeke,India,1996-04-21,2017-04-22,3300
74,Yana,Whiskey,1987-11-22,2017-04-27,3100
75,Nick,Alpha,1991-04-19,2017-05-22,2200
76,Barney,X-Ray,2000-06-02,2017-05-22,2700
77,Oliver,Zulu,1985-08-10,2017-05-28,2700
78,Ulena,Sierra,1995-07-15,2017-05-29,2900
79,Oliver,Papa,1998-07-22,2017-06-16,2000
80,Yana,Quebec,1995-03-25,2017-07-01,2500
81,Nick,Alpha,1998-10-06,2017-07-06,2700
82,Indigo,November,1999-01-24,2017-07-07,2100
83,Xavier,India,1991-10-28,2017-07-07,3200
84,Jack,Lima,1990-10-18,2017-07-16,3000
85,Indigo,Zulu,1996-08-11,2017-08-11,2400
86,Jack,Papa,1994-07-23,2017-08-29,2700
87,Katie,Golf,1990-01-01,2017-08-29,2200
88,Queen,Zulu,1994-10-24,2017-09-08,2100
89,Barney,Quebec,1988-02-27,2017-09-08,2600
90,Gerry,Victor,1993-03-10,2017-09-10,2100
91,Yana,November,1987-05-15,2017-09-18,3300
92,Charles,Papa,1993-08-29,2017-09-23,2400
93,Indigo,Mike,1990-02-25,2017-09-24,2200
94,Harry,Oscar,1995-11-25,2017-10-02,3400
95,Nick,Bravo,1990-05-28,2017-10-29,2300
96,Charles,Alpha,1987-07-27,2017-12-03,2000
97,Ulena,Kilo,1996-07-15,2017-12-08,3300
98,Ulena,Delta,1993-06-09,2017-12-19,3300
99,Katie,Kilo,1990-10-22,2017-12-22,2100
100,Marty,India,2001-02-01,2018-01-03,3000
101,Ernie,X-Ray,1995-08-09,2018-01-07,2500
102,Barney,Yankee,1988-09-21,2018-01-13,3100
103,Charles,Victor,1992-01-31,2018-01-13,2700
104,Frank,Delta,1992-05-22,2018-01-13,3300
105,Harry,Tango,1985-11-09,2018-01-20,3400
106,Jack,Romeo,1991-05-14,2018-01-26,2800
107,Katie,India,1999-09-03,2018-02-22,3400
108,Yana,Quebec,1988-01-30,2018-02-24,2100
109,Sam,Mike,1992-07-05,2018-03-29,2600
110,Ernie,Foxtrot,1998-03-09,2018-04-19,2300
111,Xavier,Quebec,1988-10-28,2018-04-20,2400
112,Xavier,Papa,1986-06-29,2018-05-01,2400
113,Ernie,Sierra,1989-01-09,2018-05-01,2400
114,Veronica,Lima,1997-09-24,2018-05-21,3000
115,Veronica,Whiskey,1987-07-12,2018-06-22,2500
116,Wendy,Sierra,1995-02-01,2018-07-18,3100
117,Xavier,Kilo,1989-12-12,2018-08-14,3200
118,Ernie,Alpha,1986-01-29,2018-08-18,2000
119,Jack,Quebec,1989-07-30,2018-08-30,3300
120,Alex,Juliet,1990-11-05,2018-09-08,2200
121,Alex,Alpha,1999-12-20,2018-09-18,2400
122,Nick,Echo,1990-04-22,2018-10-01,3200
123,Xavier,Echo,1990-02-26,2018-10-03,2900
124,Indigo,Sierra,1989-12-08,2018-10-18,3100
125,Dane,Sierra,1994-01-07,2018-11-02,2000
126,Sam,Golf,1996-04-10,2018-12-02,2000
127,Peter,Bravo,1990-07-30,2018-12-15,2300
128,Marty,Papa,1990-08-28,2018-12-16,2100
